Time,Umred1,Umred2,Umred4,Umred6,Umred7,Umred8,Umred9,Umred10,Saoner9,Saoner8,Saoner7,Saoner3,Ramtek6,Ramtek5,Ramtek3,Ramtek2,Ramtek1,Parseoni5,Parseoni2,Narkhed8,Parseoni7,Parseoni6,Parseoni4,Parseoni10,Parseoni1,Narkhed7,Narkhed4,Narkhed3,Narkhed10,Narkhed1,Nagpur6,Nagpur8,Nagpur9,Nagpur7,Nagpur4,Nagpur5,Kuhi8,Kuhi5,Nagpur3,Mauda9,Mauda4,Mauda3,Kuhi9,Nagpur2,Kuhi3,Kuhi2,Kuhi10,Kuhi1,Katol9,Katol8,Katol6,Katol10,Katol1,Kamthi9,Kamthi6,Kamthi5,Kalmeshwar4,Hingna9,Kamthi4,Kamthi2,Kamthi10,Kalmeshwar8,Kalmeshwar6,Hingna7,Hingna6,Hingna10,Hingna1,Bhivapur9,Bhivapur8,Bhivapur7,Bhivapur5,Bhivapur4,Bhivapur3,Bhivapur2,Bhivapur10
2/4/1981,3.117313,2.90654,4.873576,4.209075,1.104453,2.334654,3.117313,2.90654,3.270343,0,2.334654,2.90654,1.104453,7.133273,7.133273,7.133273,4.850759,0.9395815,0,6.073558,2.90654,3.031764,3.117313,7.133273,7.133273,3.167485,7.133273,2.90654,2.90654,2.649256,2.627449,2.90654,8.447307,2.90654,0,2.90654,0.9395815,2.334654,2.90654,2.160024,7.133273,2.90654,7.133273,7.133273,3.117313,2.468419,3.117313,3.117313,2.90654,2.90654,3.031764,2.90654,7.133273,2.90654,2.90654,3.117313,0,2.334654,2.90654,2.90654,1.728384,3.117313,2.649256,3.117313,3.117313,2.90654,1.728384,3.117313,0,1.994053,0.3020268,0,0,3.117313,2.334654
2/5/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.550751,0,0,0,0,0,0,0,0,1.873491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.402672,2.617194,3.968719,7.407785,0,0,0
2/6/1981,0,0,0,3.708437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/1981,0,0,6.580502,3.195246,6.85145,0,0,0,3.880071,7.168553,0,0,6.85145,0,0,0,0,5.604353,6.421275,0,0,0,0,0,0,0,0,0,0,5.208671,0,0,0,0,0,0,5.604353,0,0,0,0,0,0,0,0,4.975564,0,0,0,0,0,0,0,0,0,0,7.168553,0,0,0,0,0,5.208671,0,0,0,0,0,0,0,0,0,0,0,0
2/8/1981,5.243216,5.098691,2.395642,0,0.7126157,4.142694,5.243216,5.098691,2.287599,0.1538985,4.142694,5.098691,0.7126157,10.80433,10.80433,10.80433,8.476638,1.988105,0,8.174236,5.098691,5.118262,5.243216,10.80433,10.80433,5.645239,10.80433,5.098691,5.098691,0,0,5.098691,9.80918,5.098691,0,5.098691,1.988105,4.142694,5.098691,0,10.80433,5.098691,10.80433,10.80433,5.243216,0,5.243216,5.243216,5.098691,5.098691,5.118262,5.098691,10.80433,5.098691,5.098691,5.243216,0.1538985,4.142694,5.098691,5.098691,7.583115,5.243216,0,5.243216,5.243216,5.098691,7.583115,5.243216,9.044134,0,5.503137,7.647798,0,5.243216,4.142694
2/9/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.352376,5.71249,0,0,0,0
2/12/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.518161,0,0,0,8.197182,0,0,0,0,6.710056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.702188,4.520284,0,5.449526,8.197182,0,0
2/13/1981,0,0,0,0,8.642876,1.236629,0,0,0,9.215175,1.236629,0,8.642876,0,0,0,0,8.470674,7.431747,0,0,0.7891191,0,0,0,8.351332,0,0,0,7.914165,6.097853,0,0,0,9.738899,0,8.470674,1.236629,0,6.102453,0,0,0,0,0,7.466951,0,0,0,0,0.7891191,0,0,0,0,0,9.215175,1.236629,0,0,0,0,7.914165,0,0,0,0,0,0,0,0,0,9.738899,0,1.236629
2/14/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.187626,4.137971,5.955076,4.760129,0,0,0
2/15/1981,0,0,0,0,5.378523,0.929896,0,0,0,5.254498,0.929896,0,5.378523,0,0,0,6.686412,4.90262,4.731321,5.516838,0,0,0,0,0,1.660845,0,0,0,0,0,0,1.120731,0,0,0,4.90262,0.929896,0,0,0,0,0,0,0,0.1143634,0,0,0,0,0,0,0,0,0,0,5.254498,0.929896,0,0,8.14304,0,0,0,0,0,8.14304,0,0,0,0,0,0,0,0.929896
2/16/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.896299,0,0,0,0,0,0,0,0,8.907732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.23247,9.715795,7.343976,9.978471,0,0,0
2/18/1981,4.265959,4.248949,0,3.999629,0,3.407348,4.265959,4.248949,4.416059,0,3.407348,4.248949,0,0,0,0,0,0,0,0,4.248949,3.870278,4.265959,0,0,0.5251175,0,4.248949,4.248949,0,0,4.248949,0,4.248949,0,4.248949,0,3.407348,4.248949,0,0,4.248949,0,0,4.265959,0,4.265959,4.265959,4.248949,4.248949,3.870278,4.248949,0,4.248949,4.248949,4.265959,0,3.407348,4.248949,4.248949,0,4.265959,0,4.265959,4.265959,4.248949,0,4.265959,0,0,0,0,0,4.265959,3.407348
2/19/1981,4.319619,4.290604,0,0,0,3.456872,4.319619,4.290604,0,0,3.456872,4.290604,0,0,0,0,0,0,0,0,4.290604,3.928044,4.319619,0,0,0.5329551,0,4.290604,4.290604,0,10.56241,4.290604,0,4.290604,12.51835,4.290604,0,3.456872,4.290604,11.42099,0,4.290604,0,0,4.319619,0,4.319619,4.319619,4.290604,4.290604,3.928044,4.290604,0,4.290604,4.290604,4.319619,0,3.456872,4.290604,4.290604,0,4.319619,0,4.319619,4.319619,4.290604,0,4.319619,0,11.82394,8.234365,0,12.51835,4.319619,3.456872
2/20/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44887,0,0
2/21/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/1981,0,0,5.181165,0,4.841029,0,0,0,6.194445,4.689734,0,0,4.841029,0,0,0,0,3.496182,5.813061,0,0,0,0,0,0,0.3787924,0,0,0,3.856796,0,0,0,0,0,0,3.496182,0,0,0,0,0,0,0,0,3.735208,0,0,0,0,0,0,0,0,0,0,4.689734,0,0,0,0,0,3.856796,0,0,0,0,0,0,0,0,0,0,0,0
2/23/1981,0,0,4.402712,6.897926,0,4.055914,0,0,3.789226,0,4.055914,0,0,0,0,0,0,0,0,0,0,4.755242,0,0,0,4.865298,0,0,0,2.021861,0,0,0,0,0,0,0,4.055914,0,0,0,0,0,0,0,2.165458,0,0,0,0,4.755242,0,0,0,0,0,0,4.055914,0,0,0,0,2.021861,0,0,0,0,0,0,0,0,0,0,0,4.055914
2/24/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.408265,4.665032,5.701815,4.059487,0,0,0
3/4/1981,0,0,0,0,0,0,0,0,2.878187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.043822,0,0,0,4.860468,0,0,0,0,0.5172106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5126119,0,0,4.860468,0,0
3/5/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/1981,0,0,0,2.558463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.431136,0,0,0,8.237906,0,0,0,0,7.375427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88931,4.835518,0,8.237906,0,0
3/9/1981,0,0,0,2.489789,1.346909,0,0,0,0,0,0,0,1.346909,0,0,0,0,0,0.4539324,0,0,0,0,0,0,0,0,0,0,1.239298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.780724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.239298,0,0,0,0,0,0,0,0,0,0,0,0
3/10/1981,0,0,7.025324,7.120474,5.918687,3.722126,0,0,5.233081,5.684134,3.722126,0,5.918687,0,0,0,0,6.277984,6.174801,0,0,5.023487,0,0,0,5.635405,0,0,0,6.271707,0,0,0,0,0,0,6.277984,3.722126,0,0,0,0,0,0,0,5.02722,0,0,0,0,5.023487,0,0,0,0,0,5.684134,3.722126,0,0,0,0,6.271707,0,0,0,0,0,0,0,0,0,0,0,3.722126
3/11/1981,10.80005,10.19962,10.65679,8.965072,20.54742,11.95982,10.80005,10.19962,7.794157,17.80342,11.95982,10.19962,20.54742,9.398415,9.398415,9.398415,9.166764,16.60619,17.77304,9.923536,10.19962,12.75822,10.80005,9.398415,9.398415,16.08854,9.398415,10.19962,10.19962,18.87246,0,10.19962,10.73341,10.19962,0,10.19962,16.60619,11.95982,10.19962,0,9.398415,10.19962,9.398415,9.398415,10.80005,20.33338,10.80005,10.80005,10.19962,10.19962,12.75822,10.19962,9.398415,10.19962,10.19962,10.80005,17.80342,11.95982,10.19962,10.19962,8.178119,10.80005,18.87246,10.80005,10.80005,10.19962,8.178119,10.80005,8.389369,0,0,9.914236,0,10.80005,11.95982
