State,Station,Rainfall
MADHYA PRADESH,MUNGAOLI,0
MADHYA PRADESH,NAINPUR,0
MADHYA PRADESH,NARSINGGARH,0
MADHYA PRADESH,NASARULLAGANJ,0
MADHYA PRADESH,PETLAWAD,0
MADHYA PRADESH,PUNASA,6
MADHYA PRADESH,RAHALI,0
MADHYA PRADESH,SIHORA,0
MADHYA PRADESH,SITAMAU,0
MADHYA PRADESH,SOHAGPUR,0
MADHYA PRADESH,SUSNER,9
MADHYA PRADESH,TIMARNI,0
MAHARASHTRA,AURANGABAD,3
MAHARASHTRA,BHANDARA,3
MAHARASHTRA,BHOOM,0
MAHARASHTRA,CAGMO SUTRON,0
MAHARASHTRA,HINGANGHAT,0
MAHARASHTRA,HIWARA,0
MAHARASHTRA,JUNNAR,0
MAHARASHTRA,KARANJA-G,0
MAHARASHTRA,LAVALE,0
MAHARASHTRA,MAGARPATTA PUNE,0
MAHARASHTRA,MANORA,0
MAHARASHTRA,NARKHED,0
MAHARASHTRA,NDA PUNE,0
MAHARASHTRA,PASHAN PUNE,0
MAHARASHTRA,PAUNI,0
MAHARASHTRA,SANGOLA,0
MAHARASHTRA,SHEGAON,0
MAHARASHTRA,ST JOSEPH PUNE,0
MAHARASHTRA,UDGIR,0
MAHARASHTRA,WADGAONSHERI_PUNE,0
MAHARASHTRA,WARDHA,0
MANIPUR,CHANDEL,0
MEGHALAYA,BAGHMARA,0
MIZORAM,CHAWNGTE,0
NAGALAND,DIMAPUR,0
NAGALAND,WOKHA,1
ODISHA,AGALPUR,0
ODISHA,AMBABHONA,2
ODISHA,BANGRIPOSHI,0
ODISHA,BARAPALLI,0
ODISHA,BATGAON,0
ODISHA,BURLA,0
ODISHA,CHANDAHANDI,0
ODISHA,CHANDANPUR,7
ODISHA,CUTTACK,0
ODISHA,CUTTACK_ARG,0
ODISHA,DAITARI,0
ODISHA,DASPALLA,0
ODISHA,DEOGAON,0
ODISHA,GAISILET,0
ODISHA,GANIA,0
ODISHA,GURUNDIA,0
ODISHA,HEMGIRI,0
ODISHA,HINDOL,0
ODISHA,JAGANATH PRASAD,0
ODISHA,JAMANKIRA,0
ODISHA,JUNAGARH-ORISSA,0
ODISHA,KAMAKHYANAGAR,0
ODISHA,KHAIRAMAL,0
ODISHA,KHARIHAR,0
ODISHA,KIIT COLLEGE BHUBNESHWAR,0
ODISHA,KOTAGARH,0
ODISHA,KUCHINDA,0
ODISHA,KUJANG,0
ODISHA,KUTRAGADA,0
ODISHA,MAHANGA,0
ODISHA,MARSHAGHAI,0
ODISHA,MOHANA,0
ODISHA,MUNIGUDA,0
ODISHA,NILGIRI,0
ODISHA,NUAGADA,0
ODISHA,PADAMPUR_KEONJHAR,0
ODISHA,RANTUR,0
ODISHA,SATYAPADI,0
ODISHA,SOHELA,0
ODISHA,SWAMPATNA,0
ODISHA,THAKURMUNDA,0
ODISHA,TIGIRIA,0
ODISHA,TIHIDI,0
ODISHA,UDALA,0
PUNJAB,PHILLAUR,0
PUNJAB,RAJPURA,0
RAJASTHAN,AJMER,0
RAJASTHAN,BARAN,0
RAJASTHAN,BARMER,0
RAJASTHAN,BASWA,0
RAJASTHAN,BIKANER,0
RAJASTHAN,CHITTAURGARH,0
RAJASTHAN,DHOLPUR,0
RAJASTHAN,NADOTI,0
RAJASTHAN,NAINWAN,0
RAJASTHAN,NEEM KA THANA,0
RAJASTHAN,UDAIPURWATI,0
TAMIL NADU,ADUTHURAI_AGRO,0
TAMIL NADU,ANDIPATTI,0
TAMIL NADU,ANNA UNIVERSITY,0
TAMIL NADU,ARANI,0
TAMIL NADU,BODINAYAKANUR,0
TAMIL NADU,CHEMBARAMBAKKAM,0
TAMIL NADU,CHENNAI,0
TAMIL NADU,CHETTYKULAM,0
TAMIL NADU,COONOOR,0
TAMIL NADU,DENKANIKOTTAI,0
TAMIL NADU,DEVAKOTTAI,0
TAMIL NADU,DHARAPURAM,0
TAMIL NADU,DINDIGUL,0
TAMIL NADU,GRAND ANAICUT,0
TAMIL NADU,HARUR,0
TAMIL NADU,HINDUSTAN UNIVERSITY,0
TAMIL NADU,KALLAKURICHI,0
TAMIL NADU,KANGEYAM,0
TAMIL NADU,KARUR,0
TAMIL NADU,KAYATHAR,0
TAMIL NADU,KOLLIDAM,0
TAMIL NADU,KOMARAPALAYAM,0
TAMIL NADU,KUDAVASAL,0
TAMIL NADU,KULITHALAI,0
TAMIL NADU,KVK  KATTUPAKKAM,0
TAMIL NADU,LALPET,0
TAMIL NADU,LMOIS  KOLAPAKKAM,0
TAMIL NADU,MANAPARAI,0
TAMIL NADU,MUTHUPETTAI,0
TAMIL NADU,NAGERCOIL,0
TAMIL NADU,NILAKOTTAI,0
TAMIL NADU,ORATHANADU,0
TAMIL NADU,PALACODE,0
TAMIL NADU,PAPPIREDDI,0
TAMIL NADU,PERUNDURAI,0
TAMIL NADU,POONAMALLEE,0
TAMIL NADU,PUDUKOTTAI,0
TAMIL NADU,PUZHAL,0
TAMIL NADU,R.K.PET,0
TAMIL NADU,RADHAPURAM,0
TAMIL NADU,RAJAPALAYAM,0
TAMIL NADU,RASIPURAM,0
TAMIL NADU,SANKARANKOIL,0
TAMIL NADU,SATHYABAMA  UNIVERSITY,0
TAMIL NADU,SATTANKULAM,0
TAMIL NADU,SENTHURAI,0
TAMIL NADU,SIVAKASI,0
TAMIL NADU,TARAMANI,0
TAMIL NADU,TIRUVALLUR,0
TAMIL NADU,VADIPATTI,0
TAMIL NADU,VALINOKKAM,0
TAMIL NADU,VANIYAMBADI,0
TAMIL NADU,VAZHAPADI,0
TAMIL NADU,VRIDHA_CHALAM,0
TAMIL NADU,YELAGIRI HILL,0
UTTAR PRADESH,AMRITPUR,0
UTTAR PRADESH,BARAUT,0
UTTAR PRADESH,BHATPARRANI,0
UTTAR PRADESH,BISAULI,0
UTTAR PRADESH,CHANDAUSI,0
UTTAR PRADESH,DANAURA,0
UTTAR PRADESH,DHAMPUR,0
UTTAR PRADESH,DHANGHATA,0
UTTAR PRADESH,DOMARIAGANJ,0
UTTAR PRADESH,HATA,0
UTTAR PRADESH,JALALABAD,0
UTTAR PRADESH,KASBAH KHATAULI,0
UTTAR PRADESH,KHAGA,0
UTTAR PRADESH,KUNDA,0
UTTAR PRADESH,LALGANJ(MIRZAPUR),0
UTTAR PRADESH,MACHHLISHAHAR,0
UTTAR PRADESH,MANIHARAN,0
UTTAR PRADESH,MOTH,0
UTTAR PRADESH,RASRA,0
UTTAR PRADESH,SAIFAI,0
UTTAR PRADESH,SAMBHAL,0
UTTAR PRADESH,SHAMLI,0
UTTAR PRADESH,SIKANDRA,0
UTTAR PRADESH,TILHAR,0
UTTAR PRADESH,UTRAULA,0
UTTARAKHAND,DEHRADUN,9
UTTARAKHAND,PATI,0
UTTARAKHAND,RAMNAGAR,0
UTTARAKHAND,SRINAGAR_ARG,0
WEST BENGAL,ALIPORE,0
WEST BENGAL,ALIPURDUAR,0
WEST BENGAL,BANKURA,0
WEST BENGAL,CHAKDAH,0
WEST BENGAL,CHENGMARI TEA GARDEN,0
WEST BENGAL,CHOPRA,0
WEST BENGAL,DEGANGA,0
WEST BENGAL,GANAGRAMPUR,0
WEST BENGAL,JAGATBALLAVPUR,0
WEST BENGAL,MEKHLIGANJ,0
WEST BENGAL,PEDONG,0
WEST BENGAL,RATUA,0
WEST BENGAL,SHEKHAMPORE,0
WEST BENGAL,SILIGURI,8
WEST BENGAL,SONAMUKHI,0
