,State,Station Name,Rainfall
139,MADHYA PRADESH,A LOT,0.0
140,MADHYA PRADESH,BADNAWAR,0.0
141,MADHYA PRADESH,BARASIA,15.0
142,MADHYA PRADESH,BARELI,0.0
143,MADHYA PRADESH,BEGUMGANJ,0.0
144,MADHYA PRADESH,BHANDER,0.0
145,MADHYA PRADESH,BHOPAL,0.0
146,MADHYA PRADESH,BHOPAL_ARG,6.0
147,MADHYA PRADESH,BIJAWAR,0.0
148,MADHYA PRADESH,DATIA,0.0
149,MADHYA PRADESH,DEWAS,33.0
150,MADHYA PRADESH,DHAR,0.0
151,MADHYA PRADESH,DINDORI,0.0
152,MADHYA PRADESH,GHATIGAON,0.0
153,MADHYA PRADESH,HATTA,0.0
154,MADHYA PRADESH,INDERGARH,0.0
155,MADHYA PRADESH,ISLAMNAGAR,2.0
156,MADHYA PRADESH,JOBAT,0.0
157,MADHYA PRADESH,KANNOD,0.0
158,MADHYA PRADESH,KARAHAL,0.0
159,MADHYA PRADESH,KEOLARI,0.0
160,MADHYA PRADESH,KHURAI,0.0
161,MADHYA PRADESH,KUKSHI,0.0
162,MADHYA PRADESH,LATERI,2.0
163,MADHYA PRADESH,LIMBADITGAON,0.0
164,MADHYA PRADESH,MAJHAULI,0.0
165,MADHYA PRADESH,MANPUR,0.0
166,MADHYA PRADESH,MULTAI,0.0
167,MADHYA PRADESH,MUNGAOLI,0.0
168,MADHYA PRADESH,MURJHAD,0.0
169,MADHYA PRADESH,NAINPUR,0.0
170,MADHYA PRADESH,NARSINGGARH,1.0
171,MADHYA PRADESH,NASARULLAGANJ,8.0
172,MADHYA PRADESH,PALI_ARG,3.0
173,MADHYA PRADESH,PAWAI,0.0
174,MADHYA PRADESH,PUNASA,0.0
175,MADHYA PRADESH,RAHALI,0.0
176,MADHYA PRADESH,SIHORA,2.0
177,MADHYA PRADESH,SITAMAU,0.0
178,MADHYA PRADESH,SOHAGPUR,0.0
179,MADHYA PRADESH,SUSNER,0.0
180,MADHYA PRADESH,TIMARNI,5.0
181,MADHYA PRADESH,VIDISHA,0.0
182,MAHARASHTRA,CAGMO SUTRON,0.0
183,MAHARASHTRA,HINGANGHAT,0.0
184,MAHARASHTRA,HIWARA,44.0
185,MAHARASHTRA,JUNNAR,0.0
186,MAHARASHTRA,LAVALE,0.0
187,MAHARASHTRA,MAGARPATTA PUNE,0.0
188,MAHARASHTRA,MANORA,0.0
189,MAHARASHTRA,NARKHED,10.0
190,MAHARASHTRA,NDA PUNE,0.0
191,MAHARASHTRA,PASHAN PUNE,0.0
192,MAHARASHTRA,PATAS,0.0
193,MAHARASHTRA,PAUNI,0.0
194,MAHARASHTRA,SHIVAJINAGAR PUNE,0.0
195,MAHARASHTRA,UDGIR,0.0
196,MAHARASHTRA,WADGAONSHERI_PUNE,0.0
197,MAHARASHTRA,WARDHA,0.0
198,MANIPUR,CHANDEL,0.0
199,MANIPUR,CHURACHANDPUR,0.0
200,MEGHALAYA,BAGHMARA,0.0
201,MIZORAM,CHAWNGTE,0.0
202,NAGALAND,DIMAPUR,1.0
203,NAGALAND,WOKHA,0.0
204,ODISHA,AGALPUR,0.0
205,ODISHA,AMBABHONA,0.0
206,ODISHA,BANGRIPOSHI,0.0
207,ODISHA,BARAPALLI,0.0
208,ODISHA,BURLA,0.0
209,ODISHA,CHANDAHANDI,0.0
210,ODISHA,CHANDANPUR,0.0
211,ODISHA,CUTTACK,0.0
212,ODISHA,CUTTACK_ARG,5.0
213,ODISHA,DAITARI,0.0
214,ODISHA,DASPALLA,0.0
215,ODISHA,DEOGAON,0.0
216,ODISHA,GAISILET,0.0
217,ODISHA,GANIA,0.0
218,ODISHA,GHATGAON,5.0
219,ODISHA,GURUNDIA,0.0
220,ODISHA,HEMGIRI,0.0
221,ODISHA,JAGANATH PRASAD,0.0
222,ODISHA,JAMANKIRA,0.0
223,ODISHA,KHAIRAMAL,0.0
224,ODISHA,KHARIHAR,1.0
225,ODISHA,KIIT COLLEGE BHUBNESHWAR,0.0
226,ODISHA,KOTAGARH,0.0
227,ODISHA,KUCHINDA,0.0
228,ODISHA,KUJANG,0.0
229,ODISHA,KUTRAGADA,0.0
230,ODISHA,MAHANGA,0.0
231,ODISHA,MOHANA,0.0
232,ODISHA,MUNIGUDA,0.0
233,ODISHA,NILGIRI,0.0
234,ODISHA,NUAGADA,1.0
235,ODISHA,PADAMPUR_KEONJHAR,0.0
236,ODISHA,RANTUR,1.0
237,ODISHA,SOHELA,0.0
238,ODISHA,SURADA,0.0
239,ODISHA,SWAMPATNA,3.0
240,ODISHA,TENSA,2.0
241,ODISHA,THAKURMUNDA,0.0
242,ODISHA,TIGIRIA,0.0
243,ODISHA,TIHIDI,0.0
244,ODISHA,TIRING,0.0
245,ODISHA,UDALA,0.0
246,PUNJAB,JAGRAON,0.0
247,PUNJAB,PHILLAUR,0.0
248,PUNJAB,RAJPURA,0.0
249,PUNJAB,SULTANPURLODHI,0.0
250,RAJASTHAN,AJMER,0.0
251,RAJASTHAN,BARMER,0.0
252,RAJASTHAN,BASWA,0.0
253,RAJASTHAN,BHARATPUR,0.0
254,RAJASTHAN,BIKANER,0.0
255,RAJASTHAN,DHOLPUR,0.0
256,RAJASTHAN,NADOTI,0.0
257,RAJASTHAN,NAINWAN,0.0
258,RAJASTHAN,UDAIPURWATI,0.0
259,TAMIL NADU,ADUTHURAI_AGRO,16.0
260,TAMIL NADU,ANDIPATTI,0.0
261,TAMIL NADU,ARANI,0.0
262,TAMIL NADU,BODINAYAKANUR,0.0
263,TAMIL NADU,CHENNAI,2.0
264,TAMIL NADU,CHEYYUR,0.0
265,TAMIL NADU,DENKANIKOTTAI,0.0
266,TAMIL NADU,DHARAPURAM,0.0
267,TAMIL NADU,DINDIGUL,0.0
268,TAMIL NADU,GRAND ANAICUT,0.0
269,TAMIL NADU,HARUR,0.0
270,TAMIL NADU,HINDUSTAN UNIVERSITY,0.0
271,TAMIL NADU,KALLAKURICHI,0.0
272,TAMIL NADU,KANGEYAM,0.0
273,TAMIL NADU,KARUR,0.0
274,TAMIL NADU,KAYATHAR,0.0
